"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"H66",4,NA,NA,NA,NA,NA,NA,NA,NA
"J36",4,NA,NA,NA,"Abscesso periamigdaliano","J36   Abscesso periamigdaliano",NA,NA,NA
"K21",4,NA,NA,NA,NA,NA,NA,NA,NA
"K219",4,NA,NA,NA,"Doença de refluxo gastroesofágico sem esofagite","K21.9 Doenc de refluxo gastroesofagico s/esofagite",NA,NA,NA
"K929",4,NA,NA,NA,"Doença do aparelho digestivo, sem outra especificação","K92.9 Doenc do aparelho digestivo SOE",NA,NA,NA
"L030",4,NA,NA,"N","Celulite de dedos das mãos e dos pés","L03.0 Celulite de dedos das maos e dos pes",NA,NA,NA
"L031",4,NA,NA,NA,"Celulite de outras partes do(s) membro(s)","L03.1 Celulite de outr partes de membros",NA,NA,NA
"N30",4,NA,NA,NA,NA,NA,NA,NA,NA
"P13",4,NA,NA,NA,NA,NA,NA,NA,NA
"P298",4,NA,NA,NA,"Outros transtornos cardiovasculares originados no período perinatal","P29.8 Outr transt cardiovasc orig periodo perinat",NA,NA,NA
"P55",4,NA,NA,NA,NA,NA,NA,NA,NA
"Q22",4,NA,NA,NA,NA,NA,NA,NA,NA
"R11",4,NA,NA,NA,"Náusea e vômitos","R11   Nausea e vomitos",NA,NA,NA
"R509",4,NA,NA,NA,"Febre não especificada","R50.9 Febre NE",NA,NA,NA
"S82",4,NA,NA,NA,NA,NA,NA,NA,NA
"T21",4,NA,NA,NA,NA,NA,NA,NA,NA
"A37",3,NA,NA,NA,NA,NA,NA,NA,NA
"A879",3,NA,NA,NA,"Meningite viral não especificada","A87.9 Meningite viral NE",NA,NA,NA
"B95",3,NA,NA,NA,NA,NA,NA,NA,NA
"D50",3,NA,NA,NA,NA,NA,NA,NA,NA
"D570",3,NA,NA,NA,"Anemia falciforme com crise","D57.0 Anemia falciforme c/crise",NA,NA,NA
"D69",3,NA,NA,NA,NA,NA,NA,NA,NA
"E86",3,NA,NA,NA,"Depleção de volume","E86   Deplecao de volume",NA,NA,NA
"F840",3,NA,NA,NA,"Autismo infantil","F84.0 Autismo infantil",NA,NA,NA
"G54",3,NA,NA,NA,NA,NA,NA,NA,NA
"G58",3,NA,NA,NA,NA,NA,NA,NA,NA
"H659",3,NA,NA,NA,"Otite média não-supurativa, não especificada","H65.9 Otite media nao-supurativa NE",NA,NA,NA
"K31",3,NA,NA,NA,NA,NA,NA,NA,NA
"K43",3,NA,NA,NA,NA,NA,NA,NA,NA
"M00",3,NA,NA,NA,NA,NA,NA,NA,NA
"N049",3,NA,NA,NA,"Síndrome nefrótica - não especificada","N04.9 NE",NA,NA,NA
"P00",3,NA,NA,NA,NA,NA,NA,NA,NA
"P240",3,NA,NA,NA,"Aspiração neonatal de mecônio","P24.0 Aspiracao neonatal de meconio",NA,NA,NA
"P369",3,NA,NA,NA,"Septicemia bacteriana não especificada do recém-nascido","P36.9 Septicemia bacter NE do recem-nascido",NA,NA,NA
"P50",3,NA,NA,NA,NA,NA,NA,NA,NA
"R10",3,NA,NA,NA,NA,NA,NA,NA,NA
"R50",3,NA,NA,NA,NA,NA,NA,NA,NA
"S01",3,NA,NA,NA,NA,NA,NA,NA,NA
"S424",3,NA,NA,NA,"Fratura da extremidade inferior do úmero","S42.4 Frat da extremidade infer do umero",NA,NA,NA
"S524",3,NA,NA,NA,"Fratura das diáfises do rádio e do cúbito [ulna]","S52.4 Frat das diafises do radio e do cubito",NA,NA,NA
"T07",3,NA,NA,NA,"Traumatismos múltiplos não especificados","T07   Traum mult NE",NA,NA,NA
"Z03",3,NA,NA,NA,NA,NA,NA,NA,NA
"Z98",3,NA,NA,NA,NA,NA,NA,NA,NA
"A48",2,NA,NA,NA,NA,NA,NA,NA,NA
"A509",2,NA,NA,NA,"Sífilis congênita não especificada","A50.9 Sifilis congen NE",NA,NA,NA
"B018",2,NA,NA,NA,"Varicela com outras complicações","B01.8 Varicela c/outr complic",NA,NA,NA
"B34",2,NA,NA,NA,NA,NA,NA,NA,NA
"C479",2,NA,NA,NA,"Neoplasia maligna dos nervos periféricos e sistema nervoso autônomo, não especificados","C47.9 Nervos perifericos e sist nerv autonomo NE",NA,NA,NA
"C780",2,NA,NA,NA,"Neoplasia maligna secundária dos pulmões","C78.0 Neopl malig secund dos pulmoes",NA,NA,NA
"D14",2,NA,NA,NA,NA,NA,NA,NA,NA
"D18",2,NA,NA,NA,NA,NA,NA,NA,NA
"D43",2,NA,NA,NA,NA,NA,NA,NA,NA
"D571",2,NA,NA,NA,"Anemia falciforme sem crise","D57.1 Anemia falciforme s/crise",NA,NA,NA
"D58",2,NA,NA,NA,NA,NA,NA,NA,NA
"D61",2,NA,NA,NA,NA,NA,NA,NA,NA
"E840",2,NA,NA,NA,"Fibrose cística com manifestações pulmonares","E84.0 Fibrose cistica c/manifestacoes pulmonares",NA,NA,NA
"E88",2,NA,NA,NA,NA,NA,NA,NA,NA
"G96",2,NA,NA,NA,NA,NA,NA,NA,NA
"H04",2,NA,NA,NA,NA,NA,NA,NA,NA
"H40",2,NA,NA,NA,NA,NA,NA,NA,NA
"H919",2,NA,NA,"N","Perda não especificada de audição","H91.9 Perda NE de audicao",NA,NA,NA
"I21",2,NA,NA,NA,NA,NA,NA,NA,NA
"I64",2,NA,NA,NA,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico","I64   Acid vasc cerebr NE como hemorrag isquemico",NA,NA,NA
"I889",2,NA,NA,NA,"Linfadenite não especificada","I88.9 Linfadenite NE",NA,NA,NA
"J159",2,NA,NA,NA,"Pneumonia bacteriana não especificada","J15.9 Pneumonia bacter NE",NA,NA,NA
"J210",2,NA,NA,NA,"Bronquiolite aguda devida a vírus sincicial respiratório","J21.0 Bronquiolite aguda dev virus sincicial resp",NA,NA,NA
"J95",2,NA,NA,NA,NA,NA,NA,NA,NA
"J960",2,NA,NA,NA,"Insuficiência respiratória aguda","J96.0 Insuf respirat aguda",NA,NA,NA
"J98",2,NA,NA,NA,NA,NA,NA,NA,NA
"K122",2,NA,NA,NA,"Celulite e abscesso da boca","K12.2 Celulite e abscesso da boca",NA,NA,NA
"K20",2,NA,NA,NA,"Esofagite","K20   Esofagite",NA,NA,NA
"K29",2,NA,NA,NA,NA,NA,NA,NA,NA
"K41",2,NA,NA,NA,NA,NA,NA,NA,NA
"L08",2,NA,NA,NA,NA,NA,NA,NA,NA
"L20",2,NA,NA,NA,NA,NA,NA,NA,NA
"L500",2,NA,NA,NA,"Urticária alérgica","L50.0 Urticaria alergica",NA,NA,NA
"L72",2,NA,NA,NA,NA,NA,NA,NA,NA
"L720",2,NA,NA,"N","Cisto epidérmico","L72.0 Cisto epidermico",NA,NA,NA
"L95",2,NA,NA,NA,NA,NA,NA,NA,NA
"L989",2,NA,NA,"N","Afecções da pele e do tecido subcutâneo, não especificados","L98.9 Afeccoes da pele e do tec subcutaneo NE",NA,NA,NA
"M13",2,NA,NA,NA,NA,NA,NA,NA,NA
"M60",2,NA,NA,NA,NA,NA,NA,NA,NA
"M609",2,NA,NA,"N","Miosite não especificada","M60.9 Miosite NE",NA,NA,NA
"N20",2,NA,NA,NA,NA,NA,NA,NA,NA
"N433",2,NA,"M",NA,"Hidrocele não especificada","N43.3 Hidrocele NE",NA,NA,NA
"P002",2,NA,NA,NA,"Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe","P00.2 Fet rec-nasc afet doenc infecc parasit mae",NA,NA,NA
"P050",2,NA,NA,NA,"Recém-nascido de baixo peso para a idade gestacional","P05.0 Recem-nascido de baixo peso p/a idade gestac",NA,NA,NA
"P081",2,NA,NA,NA,"Outros recém-nascidos grandes para a idade gestacional","P08.1 Outr recem-nascidos grandes p/a idade gestac",NA,NA,NA
"P210",2,NA,NA,NA,"Asfixia grave ao nascer","P21.0 Asfixia grave ao nascer",NA,NA,NA
"P299",2,NA,NA,NA,"Transtornos cardiovasculares não especificados originados no período perinatal","P29.9 Transt cardiovasc NE orig periodo perinatal",NA,NA,NA
"P398",2,NA,NA,NA,"Outras infecções especificadas próprias do período perinatal","P39.8 Outr infecc espec proprias periodo perinatal",NA,NA,NA
"Q210",2,NA,NA,NA,"Comunicação interventricular","Q21.0 Comunicacao interventricular",NA,NA,NA
"Q24",2,NA,NA,NA,NA,NA,NA,NA,NA
"Q250",2,NA,NA,NA,"Permeabilidade do canal arterial","Q25.0 Permeabilidade do canal arterial",NA,NA,NA
"Q40",2,NA,NA,NA,NA,NA,NA,NA,NA
"Q42",2,NA,NA,NA,NA,NA,NA,NA,NA
"Q549",2,NA,"M",NA,"Hipospádia não especificada","Q54.9 Hipospadia NE",NA,NA,NA
"Q62",2,NA,NA,NA,NA,NA,NA,NA,NA
"Q699",2,NA,NA,"N","Polidactilia não especificada","Q69.9 Polidactilia NE",NA,NA,NA
"Q79",2,NA,NA,NA,NA,NA,NA,NA,NA
"R51",2,NA,NA,NA,"Cefaléia","R51   Cefaleia",NA,NA,NA
"R56",2,NA,NA,NA,NA,NA,NA,NA,NA
"S120",2,NA,NA,NA,"Fratura da primeira vértebra cervical","S12.0 Frat da primeira vertebra cervical",NA,NA,NA
"S53",2,NA,NA,NA,NA,NA,NA,NA,NA
"S681",2,NA,NA,NA,"Amputação traumática de um outro dedo apenas (completa) (parcial)","S68.1 Amput traum de um outr dedo apenas",NA,NA,NA
"T01",2,NA,NA,NA,NA,NA,NA,NA,NA
"T06",2,NA,NA,NA,NA,NA,NA,NA,NA
"T189",2,NA,NA,NA,"Corpo estranho em parte não especificada do aparelho digestivo","T18.9 Corpo estranho em parte NE ap digestivo",NA,NA,NA
"T29",2,NA,NA,NA,NA,NA,NA,NA,NA
"T42",2,NA,NA,NA,NA,NA,NA,NA,NA
"T65",2,NA,NA,NA,NA,NA,NA,NA,NA
"T82",2,NA,NA,NA,NA,NA,NA,NA,NA
"T84",2,NA,NA,NA,NA,NA,NA,NA,NA
"Z948",2,NA,NA,NA,"Outros órgãos e tecidos transplantados","Z94.8 Outr orgaos e tec transplantados",NA,NA,NA
"A07",1,NA,NA,NA,NA,NA,NA,NA,NA
"A08",1,NA,NA,NA,NA,NA,NA,NA,NA
"A31",1,NA,NA,NA,NA,NA,NA,NA,NA
"A498",1,NA,NA,NA,"Outras infecções bacterianas de localização não especificada","A49.8 Outr infecc bacterianas localiz NE",NA,NA,NA
"A499",1,NA,NA,NA,"Infecção bacteriana não especificada","A49.9 Infecc bacter NE",NA,NA,NA
"A501",1,NA,NA,NA,"Sífilis congênita precoce, forma latente","A50.1 Sifilis congen precoce form latente",NA,NA,NA
"A86",1,NA,NA,NA,"Encefalite viral, não especificada","A86   Encefalite viral NE",NA,NA,NA
"A87",1,NA,NA,NA,NA,NA,NA,NA,NA
"A878",1,NA,NA,NA,"Outras meningites virais","A87.8 Outr meningites virais",NA,NA,NA
"A89",1,NA,NA,NA,"Infecções virais não especificadas do sistema nervoso central","A89   Infecc virais NE do sist nervoso central",NA,NA,NA
"B019",1,NA,NA,NA,"Varicela sem complicação","B01.9 Varicela s/complic",NA,NA,NA
"B20",1,NA,NA,NA,NA,NA,NA,NA,NA
"B25",1,NA,NA,NA,NA,NA,NA,NA,NA
"B35",1,NA,NA,NA,NA,NA,NA,NA,NA
"B350",1,NA,NA,"N","Tinha da barba e do couro cabeludo","B35.0 Tinha da barba e do couro cabeludo",NA,NA,NA
"B550",1,NA,NA,NA,"Leishmaniose visceral","B55.0 Leishmaniose visceral",NA,NA,NA
"C49",1,NA,NA,NA,NA,NA,NA,NA,NA
"C719",1,NA,NA,NA,"Neoplasia maligna do encéfalo, não especificado","C71.9 Encefalo NE",NA,NA,NA
"C751",1,NA,NA,NA,"Neoplasia maligna da glândula hipófise (pituitária)","C75.1 Gland hipofise",NA,NA,NA
"C76",1,NA,NA,NA,NA,NA,NA,NA,NA
"C92",1,NA,NA,NA,NA,NA,NA,NA,NA
"D16",1,NA,NA,NA,NA,NA,NA,NA,NA
"D33",1,NA,NA,NA,NA,NA,NA,NA,NA
"D39",1,NA,NA,NA,NA,NA,NA,NA,NA
"D439",1,NA,NA,NA,"Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado","D43.9 Sist nervoso central NE",NA,NA,NA
"D467",1,NA,NA,NA,"Outras síndromes mielodisplásicas","D46.7 Outr sindr mielodisplasicas",NA,NA,NA
"D47",1,NA,NA,NA,NA,NA,NA,NA,NA
"D489",1,NA,NA,NA,"Neoplasia de comportamento incerto ou desconhecido sem outra especificação","D48.9 Neopl comp incerto/desconhecido s/outr espec",NA,NA,NA
"D509",1,NA,NA,NA,"Anemia por deficiência de ferro não especificada","D50.9 Anemia p/defic de ferro NE",NA,NA,NA
"D53",1,NA,NA,NA,NA,NA,NA,NA,NA
"D580",1,NA,NA,NA,"Esferocitose hereditária","D58.0 Esferocitose hereditaria",NA,NA,NA
"D590",1,NA,NA,NA,"Anemia hemolítica auto-imune induzida por droga","D59.0 Anemia hemolitica auto-imune induz p/droga",NA,NA,NA
"D608",1,NA,NA,NA,"Outras aplasias puras adquiridas da série vermelha","D60.8 Outr aplasias puras adq serie vermelha",NA,NA,NA
"D610",1,NA,NA,NA,"Anemia aplástica constitucional","D61.0 Anemia aplastica constitucional",NA,NA,NA
"D64",1,NA,NA,NA,NA,NA,NA,NA,NA
"D690",1,NA,NA,NA,"Púrpura alérgica","D69.0 Purpura alergica",NA,NA,NA
"D693",1,NA,NA,NA,"Púrpura trombocitopênica idiopática","D69.3 Purpura trombocitopenica idiopatica",NA,NA,NA
"D75",1,NA,NA,NA,NA,NA,NA,NA,NA
"D758",1,NA,NA,NA,"Outras doenças especificadas do sangue e dos órgãos hematopoéticos","D75.8 Outr doenc espec sangue e org hematopoeticos",NA,NA,NA
"D759",1,NA,NA,NA,"Doença não especificada do sangue e dos órgãos hematopoéticos","D75.9 Doenc NE do sangue e orgaos hematopoeticos",NA,NA,NA
"E45",1,NA,NA,NA,"Atraso do desenvolvimento devido à desnutrição protéico-calórica","E45   Atraso desenv dev desnutric proteico-caloric",NA,NA,NA
"E720",1,NA,NA,NA,"Distúrbios do transporte de aminoácidos","E72.0 Disturbios do transporte de aminoacidos",NA,NA,NA
"E876",1,NA,NA,NA,"Hipopotassemia","E87.6 Hipopotassemia",NA,NA,NA
"E889",1,NA,NA,NA,"Distúrbio metabólico não especificado","E88.9 Disturbio metabolico NE",NA,NA,NA
"G408",1,NA,NA,NA,"Outras epilepsias","G40.8 Outr epilepsias",NA,NA,NA
"G80",1,NA,NA,NA,NA,NA,NA,NA,NA
"G919",1,NA,NA,NA,"Hidrocefalia não especificada","G91.9 Hidrocefalia NE",NA,NA,NA
"G92",1,NA,NA,NA,"Encefalopatia tóxica","G92   Encefalopatia toxica",NA,NA,NA
"G94",1,NA,NA,NA,NA,NA,NA,NA,NA
"H050",1,NA,NA,NA,"Inflamação aguda da órbita","H05.0 Inflam aguda da orbita",NA,NA,NA
"H26",1,NA,NA,NA,NA,NA,NA,NA,NA
"H33",1,NA,NA,NA,NA,NA,NA,NA,NA
"H618",1,NA,NA,"N","Outros transtornos especificados do ouvido externo","H61.8 Outr transt espec do ouvido externo",NA,NA,NA
"H62",1,NA,NA,NA,NA,NA,NA,NA,NA
"H660",1,NA,NA,NA,"Otite média aguda supurativa","H66.0 Otite media aguda supurativa",NA,NA,NA
"H664",1,NA,NA,NA,"Otite média supurativa não especificada","H66.4 Otite media supurativa NE",NA,NA,NA
"H669",1,NA,NA,NA,"Otite média não especificada","H66.9 Otite media NE",NA,NA,NA
"H671",1,"*",NA,NA,"Otite média em doenças virais classificadas em outra parte","H67.1 Otite media em doenc virais COP",NA,NA,NA
"H74",1,NA,NA,NA,NA,NA,NA,NA,NA
"H90",1,NA,NA,NA,NA,NA,NA,NA,NA
"H905",1,NA,NA,"N","Perda de audição neuro-sensorial não especificada","H90.5 Perda de audicao neuro-sensorial NE",NA,NA,NA
"H938",1,NA,NA,"N","Outros transtornos especificados do ouvido","H93.8 Outr transt espec do ouvido",NA,NA,NA
"I05",1,NA,NA,NA,NA,NA,NA,NA,NA
"I35",1,NA,NA,NA,NA,NA,NA,NA,NA
"I42",1,NA,NA,NA,NA,NA,NA,NA,NA
"I44",1,NA,NA,NA,NA,NA,NA,NA,NA
"I50",1,NA,NA,NA,NA,NA,NA,NA,NA
"I60",1,NA,NA,NA,NA,NA,NA,NA,NA
"I62",1,NA,NA,NA,NA,NA,NA,NA,NA
"I74",1,NA,NA,NA,NA,NA,NA,NA,NA
"I743",1,NA,NA,NA,"Embolia e trombose de artérias dos membros inferiores","I74.3 Embolia e trombose de arterias membros infer",NA,NA,NA
"I748",1,NA,NA,NA,"Embolia e trombose de outras artérias","I74.8 Embolia e trombose de outr arterias",NA,NA,NA
"I77",1,NA,NA,NA,NA,NA,NA,NA,NA
"I88",1,NA,NA,NA,NA,NA,NA,NA,NA
"J00",1,NA,NA,"N","Nasofaringite aguda [resfriado comum]","J00   Nasofaringite aguda",NA,NA,NA
"J030",1,NA,NA,NA,"Amigdalite estreptocócica","J03.0 Amigdalite estreptococica",NA,NA,NA
"J040",1,NA,NA,NA,"Laringite aguda","J04.0 Laringite aguda",NA,NA,NA
"J042",1,NA,NA,NA,"Laringotraqueíte aguda","J04.2 Laringotraqueite aguda",NA,NA,NA
"J111",1,NA,NA,NA,"Influenza [gripe] com outras manifestações respiratórias, devida a vírus não identificado","J11.1 Influenza c/out manif resp dev virus n ident",NA,NA,NA
"J32",1,NA,NA,NA,NA,NA,NA,NA,NA
"J330",1,NA,NA,"N","Pólipo da cavidade nasal","J33.0 Polipo da cavidade nasal",NA,NA,NA
"J351",1,NA,NA,"N","Hipertrofia das amígdalas","J35.1 Hipertrofia das amigdalas",NA,NA,NA
"J352",1,NA,NA,"N","Hipertrofia das adenóides","J35.2 Hipertrofia das adenoides",NA,NA,NA
"J371",1,NA,NA,NA,"Laringotraqueíte crônica","J37.1 Laringotraqueite cronica",NA,NA,NA
"J42",1,NA,NA,NA,"Bronquite crônica não especificada","J42   Bronquite cronica NE",NA,NA,NA
"J44",1,NA,NA,NA,NA,NA,NA,NA,NA
"J46",1,NA,NA,NA,"Estado de mal asmático","J46   Estado de mal asmatico",NA,NA,NA
"J849",1,NA,NA,NA,"Doença pulmonar intersticial não especificadas","J84.9 Doenc pulmonar intersticial NE",NA,NA,NA
"J85",1,NA,NA,NA,NA,NA,NA,NA,NA
"J988",1,NA,NA,NA,"Outros transtornos respiratórios especificados","J98.8 Outr transt respirat espec",NA,NA,NA
"K04",1,NA,NA,NA,NA,NA,NA,NA,NA
