"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"H659",4,NA,NA,NA,"Otite média não-supurativa, não especificada","H65.9 Otite media nao-supurativa NE",NA,NA,NA
"I889",4,NA,NA,NA,"Linfadenite não especificada","I88.9 Linfadenite NE",NA,NA,NA
"J019",4,NA,NA,NA,"Sinusite aguda não especificada","J01.9 Sinusite aguda NE",NA,NA,NA
"J351",4,NA,NA,"N","Hipertrofia das amígdalas","J35.1 Hipertrofia das amigdalas",NA,NA,NA
"K219",4,NA,NA,NA,"Doença de refluxo gastroesofágico sem esofagite","K21.9 Doenc de refluxo gastroesofagico s/esofagite",NA,NA,NA
"L989",4,NA,NA,"N","Afecções da pele e do tecido subcutâneo, não especificados","L98.9 Afeccoes da pele e do tec subcutaneo NE",NA,NA,NA
"N048",4,NA,NA,NA,"Síndrome nefrótica - outras","N04.8 Outr",NA,NA,NA
"N399",4,NA,NA,NA,"Transtornos não especificados do aparelho urinário","N39.9 Transt NE do aparelho urinario",NA,NA,NA
"P071",4,NA,NA,NA,"Outros recém-nascidos de peso baixo","P07.1 Outr recem-nascidos de peso baixo",NA,NA,NA
"P080",4,NA,NA,NA,"Recém-nascido de tamanho excessivamente grande","P08.0 Recem-nascido tamanho excessivamente grande",NA,NA,NA
"P378",4,NA,NA,NA,"Outras doenças infecciosas e parasitárias congênitas especificadas","P37.8 Outr doenc infecc e parasit congen espec",NA,NA,NA
"P589",4,NA,NA,NA,"Icterícia neonatal devida a hemólise excessiva não especificada","P58.9 Ictericia neonatal dev hemolise excessiva NE",NA,NA,NA
"P925",4,NA,NA,NA,"Dificuldade neonatal na amamentação no peito","P92.5 Dificuldade neonatal na amamentacao no peito",NA,NA,NA
"Q210",4,NA,NA,NA,"Comunicação interventricular","Q21.0 Comunicacao interventricular",NA,NA,NA
"Q379",4,NA,NA,NA,"Fenda do palato com fenda labial unilateral, não especificada","Q37.9 Fenda do palato c/fenda labial unilateral NE",NA,NA,NA
"R11",4,NA,NA,NA,"Náusea e vômitos","R11   Nausea e vomitos",NA,NA,NA
"R568",4,NA,NA,NA,"Outras convulsões e as não especificadas","R56.8 Outr convulsoes e as NE",NA,NA,NA
"S524",4,NA,NA,NA,"Fratura das diáfises do rádio e do cúbito [ulna]","S52.4 Frat das diafises do radio e do cubito",NA,NA,NA
"Z470",4,NA,NA,NA,"Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna","Z47.0 Seguim env rem placa frat outr disp fix int",NA,NA,NA
"A415",3,NA,NA,NA,"Septicemia por outros microorganismos gram-negativos","A41.5 Septicemia p/outr microorg gram-negativos",NA,NA,NA
"A500",3,NA,NA,NA,"Sífilis congênita precoce sintomática","A50.0 Sifilis congen precoce sintomatica",NA,NA,NA
"A878",3,NA,NA,NA,"Outras meningites virais","A87.8 Outr meningites virais",NA,NA,NA
"C790",3,NA,NA,NA,"Neoplasia maligna secundária do rim e da pelve renal","C79.0 Neopl malig secund do rim e da pelve renal",NA,NA,NA
"D649",3,NA,NA,NA,"Anemia não especificada","D64.9 Anemia NE",NA,NA,NA
"G418",3,NA,NA,NA,"Outros estados de mal epiléptico","G41.8 Outr estados de mal epileptico",NA,NA,NA
"G589",3,NA,NA,NA,"Mononeuropatia não especificada","G58.9 Mononeuropatia NE",NA,NA,NA
"G809",3,NA,NA,NA,"Paralisia cerebral não especificada","G80.9 Paralisia cerebral NE",NA,NA,NA
"H651",3,NA,NA,NA,"Outras otites médias agudas não-supurativas","H65.1 Outr otites medias agudas nao-supurativas",NA,NA,NA
"J030",3,NA,NA,NA,"Amigdalite estreptocócica","J03.0 Amigdalite estreptococica",NA,NA,NA
"J041",3,NA,NA,NA,"Traqueíte aguda","J04.1 Traqueite aguda",NA,NA,NA
"J042",3,NA,NA,NA,"Laringotraqueíte aguda","J04.2 Laringotraqueite aguda",NA,NA,NA
"J853",3,NA,NA,NA,"Abscesso do mediastino","J85.3 Abscesso do mediastino",NA,NA,NA
"J955",3,NA,NA,NA,"Estenose subglótica pós-procedimento","J95.5 Estenose subglotica pos-proced",NA,NA,NA
"J958",3,NA,NA,NA,"Outros transtornos respiratórios pós-procedimentos","J95.8 Outr transt respirat pos-proced",NA,NA,NA
"K137",3,NA,NA,NA,"Outras lesões e as não especificadas da mucosa oral","K13.7 Outr lesoes e as NE da mucosa oral",NA,NA,NA
"K222",3,NA,NA,NA,"Obstrução do esôfago","K22.2 Obstrucao do esofago",NA,NA,NA
"K420",3,NA,NA,NA,"Hérnia umbilical com obstrução, sem gangrena","K42.0 Hernia umbilical c/obstrucao s/gangrena",NA,NA,NA
"K938",3,"*",NA,NA,"Transtornos de outros órgãos digestivos especificados em doenças classificadas em outra parte","K93.8 Transt outr org digestivos espec doenc COP",NA,NA,NA
"L010",3,NA,NA,"N","Impetigo [qualquer localização] [qualquer microorganismo]","L01.0 Impetigo",NA,NA,NA
"M609",3,NA,NA,"N","Miosite não especificada","M60.9 Miosite NE",NA,NA,NA
"N049",3,NA,NA,NA,"Síndrome nefrótica - não especificada","N04.9 NE",NA,NA,NA
"P210",3,NA,NA,NA,"Asfixia grave ao nascer","P21.0 Asfixia grave ao nascer",NA,NA,NA
"P282",3,NA,NA,NA,"Crises cianóticas do recém-nascido","P28.2 Crises cianoticas do recem-nascido",NA,NA,NA
"P285",3,NA,NA,NA,"Insuficiência respiratória do recém-nascido","P28.5 Insuf respirat do recem-nascido",NA,NA,NA
"P379",3,NA,NA,NA,"Doença infecciosa ou parasitária congênita não especificada","P37.9 Doenc infecc ou parasit congen NE",NA,NA,NA
"Q250",3,NA,NA,NA,"Permeabilidade do canal arterial","Q25.0 Permeabilidade do canal arterial",NA,NA,NA
"Q530",3,NA,"M",NA,"Testículo ectópico","Q53.0 Testiculo ectopico",NA,NA,NA
"Q541",3,NA,"M",NA,"Hipospádia peniana","Q54.1 Hipospadia peniana",NA,NA,NA
"Q660",3,NA,NA,"N","Pé torto eqüinovaro","Q66.0 Pe torto equinovaro",NA,NA,NA
"Q899",3,NA,NA,NA,"Malformações congênitas não especificadas","Q89.9 Malformacoes congen NE",NA,NA,NA
"R13",3,NA,NA,NA,"Disfagia","R13   Disfagia",NA,NA,NA
"T178",3,NA,NA,NA,"Corpo estranho em outras partes e partes múltiplas do trato respiratório","T17.8 Corpo estranho outr partes mult trato resp",NA,NA,NA
"T182",3,NA,NA,NA,"Corpo estranho no estômago","T18.2 Corpo estranho no estomago",NA,NA,NA
"Z478",3,NA,NA,NA,"Outros seguimentos ortopédicos especificados","Z47.8 Outr seguimentos ortopedicos espec",NA,NA,NA
"A049",2,NA,NA,NA,"Infecção intestinal bacteriana não especificada","A04.9 Infecc intestinal bacter NE",NA,NA,NA
"A080",2,NA,NA,NA,"Enterite por rotavírus","A08.0 Enterite p/rotavirus",NA,NA,NA
"A370",2,NA,NA,NA,"Coqueluche por Bordetella pertussis","A37.0 Coqueluche p/Bordetella pertussis",NA,NA,NA
"A491",2,NA,NA,NA,"Infecção estreptocócica de localização não especificada","A49.1 Infecc estreptococica localiz NE",NA,NA,NA
"B019",2,NA,NA,NA,"Varicela sem complicação","B01.9 Varicela s/complic",NA,NA,NA
"B084",2,NA,NA,NA,"Estomatite vesicular devida a enterovírus com exantema","B08.4 Estomatite vesic dev enterovirus c/exantema",NA,NA,NA
"C474",2,NA,NA,NA,"Neoplasia maligna dos nervos periféricos do abdome","C47.4 Nervos perifericos do abdome",NA,NA,NA
"D180",2,NA,NA,NA,"Hemangioma de qualquer localização","D18.0 Hemangioma de qualquer localiz",NA,NA,NA
"D591",2,NA,NA,NA,"Outras anemias hemolíticas auto-imunes","D59.1 Outr anemias hemoliticas auto-imunes",NA,NA,NA
"E840",2,NA,NA,NA,"Fibrose cística com manifestações pulmonares","E84.0 Fibrose cistica c/manifestacoes pulmonares",NA,NA,NA
"G403",2,NA,NA,NA,"Epilepsia e síndromes epilépticas generalizadas idiopáticas","G40.3 Epilepsia e sindr epilepticas gener idiopat",NA,NA,NA
"G934",2,NA,NA,NA,"Encefalopatia não especificada","G93.4 Encefalopatia NE",NA,NA,NA
"H250",2,NA,NA,"N","Catarata senil incipiente","H25.0 Catarata senil incipiente",NA,NA,NA
"H509",2,NA,NA,"N","Estrabismo não especificado","H50.9 Estrabismo NE",NA,NA,NA
"H650",2,NA,NA,NA,"Otite média aguda serosa","H65.0 Otite media aguda serosa",NA,NA,NA
"H652",2,NA,NA,NA,"Otite média serosa crônica","H65.2 Otite media serosa cronica",NA,NA,NA
"H660",2,NA,NA,NA,"Otite média aguda supurativa","H66.0 Otite media aguda supurativa",NA,NA,NA
"H664",2,NA,NA,NA,"Otite média supurativa não especificada","H66.4 Otite media supurativa NE",NA,NA,NA
"I089",2,NA,NA,NA,"Doença não especificada de múltiplas valvas","I08.9 Doenc NE de mult valvas",NA,NA,NA
"I509",2,NA,NA,NA,"Insuficiência cardíaca não especificada","I50.9 Insuf cardiaca NE",NA,NA,NA
"I64",2,NA,NA,NA,"Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico","I64   Acid vasc cerebr NE como hemorrag isquemico",NA,NA,NA
"I880",2,NA,NA,NA,"Linfadenite mesentérica não específica","I88.0 Linfadenite mesenterica nao especifica",NA,NA,NA
"J00",2,NA,NA,"N","Nasofaringite aguda [resfriado comum]","J00   Nasofaringite aguda",NA,NA,NA
"J181",2,NA,NA,NA,"Pneumonia lobar não especificada","J18.1 Pneumonia lobar NE",NA,NA,NA
"J188",2,NA,NA,NA,"Outras pneumonias devidas a microorganismos não especificados","J18.8 Outr pneumonias dev microorg NE",NA,NA,NA
"J350",2,NA,NA,"N","Amigdalite crônica","J35.0 Amigdalite cronica",NA,NA,NA
"J36",2,NA,NA,NA,"Abscesso periamigdaliano","J36   Abscesso periamigdaliano",NA,NA,NA
"J381",2,NA,NA,NA,"Pólipo das cordas vocais e da laringe","J38.1 Polipo das cordas vocais e da laringe",NA,NA,NA
"J450",2,NA,NA,NA,"Asma predominantemente alérgica","J45.0 Asma predom alergica",NA,NA,NA
"J938",2,NA,NA,NA,"Outros tipos de pneumotórax, especificados","J93.8 Outr tipos de pneumotorax espec",NA,NA,NA
"J950",2,NA,NA,NA,"Mau funcionamento de traqueostomia","J95.0 Mau funcionamento de traqueostomia",NA,NA,NA
"J984",2,NA,NA,NA,"Outros transtornos pulmonares","J98.4 Outr transt pulmonares",NA,NA,NA
"K121",2,NA,NA,NA,"Outras formas de estomatite","K12.1 Outr form de estomatite",NA,NA,NA
"K210",2,NA,NA,NA,"Doença de refluxo gastroesofágico com esofagite","K21.0 Doenc de refluxo gastroesofagico c/esofagite",NA,NA,NA
"K316",2,NA,NA,NA,"Fístula do estômago e do duodeno","K31.6 Fistula do estomago e do duodeno",NA,NA,NA
"K318",2,NA,NA,NA,"Outras doenças especificadas do estômago e do duodeno","K31.8 Outr doenc espec do estomago e do duodeno",NA,NA,NA
"K400",2,NA,NA,NA,"Hérnia inguinal bilateral, com obstrução, sem gangrena","K40.0 Hernia inguinal bilateral c/obstr s/gangrena",NA,NA,NA
"K550",2,NA,NA,NA,"Transtornos vasculares agudos do intestino","K55.0 Transt vasculares agudos do intestino",NA,NA,NA
"K561",2,NA,NA,NA,"Intussuscepção","K56.1 Intussuscepcao",NA,NA,NA
"K564",2,NA,NA,NA,"Outras obstruções do intestino","K56.4 Outr obstrucoes do intestino",NA,NA,NA
"K610",2,NA,NA,NA,"Abscesso anal","K61.0 Abscesso anal",NA,NA,NA
"K638",2,NA,NA,NA,"Outras doenças especificadas do intestino","K63.8 Outr doenc espec do intestino",NA,NA,NA
"K918",2,NA,NA,NA,"Outros transtornos do aparelho digestivo, pós-cirúrgicos, não classificados em outra parte","K91.8 Outr transt aparelho digest pos-cirurg NCOP",NA,NA,NA
"K928",2,NA,NA,NA,"Outras doenças especificadas do aparelho digestivo","K92.8 Outr doenc espec do aparelho digestivo",NA,NA,NA
"L021",2,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz do pescoço","L02.1 Abscesso cutaneo furunculo e antraz pescoco",NA,NA,NA
"L023",2,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz da nádega","L02.3 Abscesso cutaneo furunculo e antraz nadega",NA,NA,NA
"L030",2,NA,NA,"N","Celulite de dedos das mãos e dos pés","L03.0 Celulite de dedos das maos e dos pes",NA,NA,NA
"L209",2,NA,NA,"N","Dermatite atópica, não especificada","L20.9 Dermatite atopica NE",NA,NA,NA
"L219",2,NA,NA,"N","Dermatite seborréica, não especificada","L21.9 Dermatite seborreica NE",NA,NA,NA
"L720",2,NA,NA,"N","Cisto epidérmico","L72.0 Cisto epidermico",NA,NA,NA
"L728",2,NA,NA,"N","Outras formas de cistos foliculares da pele e do tecido subcutâneo","L72.8 Outr form cistos foliculares pele tec subcut",NA,NA,NA
"L998",2,"*",NA,NA,"Outras afecções especificadas da pele e do tecido subcutâneo em doenças classificadas em outra parte","L99.8 Outr afecc espec pele tec subcut doenc COP",NA,NA,NA
"M009",2,NA,NA,NA,"Artrite piogênica, não especificada","M00.9 Artrite piogenica NE",NA,NA,NA
"N009",2,NA,NA,NA,"Síndrome nefrítica aguda - não especificada","N00.9 NE",NA,NA,NA
"N130",2,NA,NA,NA,"Hidronefrose com obstrução da junção uretero-pélvica","N13.0 Hidronefrose c/obstr juncao uretero-pelvica",NA,NA,NA
"N288",2,NA,NA,NA,"Outros transtornos especificados do rim e do ureter","N28.8 Outr transt espec do rim e do ureter",NA,NA,NA
"N906",2,NA,"F","N","Hipertrofia da vulva","N90.6 Hipertrofia da vulva",NA,NA,NA
"P072",2,NA,NA,NA,"Imaturidade extrema","P07.2 Imaturidade extrema",NA,NA,NA
"P351",2,NA,NA,NA,"Infecção congênita por citomegalovirus","P35.1 Infecc congen p/citomegalovirus",NA,NA,NA
"P368",2,NA,NA,NA,"Outras septicemias bacterianas do recém-nascido","P36.8 Outr septicemias bacter do recem-nascido",NA,NA,NA
"P371",2,NA,NA,NA,"Toxoplasmose congênita","P37.1 Toxoplasmose congen",NA,NA,NA
"P741",2,NA,NA,NA,"Desidratação do recém-nascido","P74.1 Desidratacao do recem-nascido",NA,NA,NA
"Q213",2,NA,NA,NA,"Tetralogia de Fallot","Q21.3 Tetralogia de Fallot",NA,NA,NA
"Q219",2,NA,NA,NA,"Malformação congênita não especificada de septo cardíaco","Q21.9 Malformacao congen NE de septo cardiaco",NA,NA,NA
"Q220",2,NA,NA,NA,"Atresia da valva pulmonar","Q22.0 Atresia da valva pulmonar",NA,NA,NA
"Q249",2,NA,NA,NA,"Malformação não especificada do coração","Q24.9 Malformacao NE do coracao",NA,NA,NA
"Q400",2,NA,NA,NA,"Estenose hipertrófica congênita do piloro","Q40.0 Estenose hipertrofica congen do piloro",NA,NA,NA
"Q525",2,NA,"F",NA,"Fusão dos lábios vulvares","Q52.5 Fusao dos labios vulvares",NA,NA,NA
"Q532",2,NA,"M",NA,"Testículo não-descido, bilateral","Q53.2 Testiculo nao-descido bilateral",NA,NA,NA
"Q700",2,NA,NA,"N","Coalescência dos dedos (dedos da mão fundidos)","Q70.0 Coalescencia dos dedos",NA,NA,NA
"Q898",2,NA,NA,NA,"Outras malformações congênitas especificadas","Q89.8 Outr malformacoes congen espec",NA,NA,NA
"R040",2,NA,NA,NA,"Epistaxis","R04.0 Epistaxis",NA,NA,NA
"S064",2,NA,NA,NA,"Hemorragia epidural","S06.4 Hemorragia epidural",NA,NA,NA
"S680",2,NA,NA,NA,"Amputação traumática do polegar (completa) (parcial)","S68.0 Amput traum do polegar",NA,NA,NA
"S913",2,NA,NA,NA,"Ferimento de outras partes do pé","S91.3 Ferim de outr partes do pe",NA,NA,NA
"T141",2,NA,NA,NA,"Ferimento de região não especificada do corpo","T14.1 Ferim de regiao NE do corpo",NA,NA,NA
"T173",2,NA,NA,NA,"Corpo estranho na laringe","T17.3 Corpo estranho na laringe",NA,NA,NA
"T212",2,NA,NA,NA,"Queimadura de segundo grau do tronco","T21.2 Queim de 2.grau do tronco",NA,NA,NA
"T243",2,NA,NA,NA,"Queimadura de terceiro grau do quadril e do membro inferior, exceto tornozelo e do pé","T24.3 Queim 3.grau quadr membr inf exc tornoz pe",NA,NA,NA
"T424",2,NA,NA,NA,"Intoxicação por benzodiazepinas","T42.4 Benzodiazepinas",NA,NA,NA
"A379",1,NA,NA,NA,"Coqueluche não especificada","A37.9 Coqueluche NE",NA,NA,NA
