"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"Z948",11,NA,NA,NA,"Outros órgãos e tecidos transplantados","Z94.8 Outr orgaos e tec transplantados",NA,NA,NA
"A879",10,NA,NA,NA,"Meningite viral não especificada","A87.9 Meningite viral NE",NA,NA,NA
"H669",10,NA,NA,NA,"Otite média não especificada","H66.9 Otite media NE",NA,NA,NA
"J040",10,NA,NA,NA,"Laringite aguda","J04.0 Laringite aguda",NA,NA,NA
"Q379",10,NA,NA,NA,"Fenda do palato com fenda labial unilateral, não especificada","Q37.9 Fenda do palato c/fenda labial unilateral NE",NA,NA,NA
"Q549",10,NA,"M",NA,"Hipospádia não especificada","Q54.9 Hipospadia NE",NA,NA,NA
"Q699",10,NA,NA,"N","Polidactilia não especificada","Q69.9 Polidactilia NE",NA,NA,NA
"J039",9,NA,NA,NA,"Amigdalite aguda não especificada","J03.9 Amigdalite aguda NE",NA,NA,NA
"D570",8,NA,NA,NA,"Anemia falciforme com crise","D57.0 Anemia falciforme c/crise",NA,NA,NA
"K30",8,NA,NA,NA,"Dispepsia","K30   Dispepsia",NA,NA,NA
"L010",8,NA,NA,"N","Impetigo [qualquer localização] [qualquer microorganismo]","L01.0 Impetigo",NA,NA,NA
"L508",8,NA,NA,NA,"Outras urticárias","L50.8 Outr urticarias",NA,NA,NA
"N433",8,NA,"M",NA,"Hidrocele não especificada","N43.3 Hidrocele NE",NA,NA,NA
"P398",8,NA,NA,NA,"Outras infecções especificadas próprias do período perinatal","P39.8 Outr infecc espec proprias periodo perinatal",NA,NA,NA
"P968",8,NA,NA,NA,"Outras afecções especificadas originadas no período perinatal","P96.8 Outr afeccoes espec orig periodo perinatal",NA,NA,NA
"Z470",8,NA,NA,NA,"Seguimento envolvendo remoção de placa de fratura e outros dispositivos de fixação interna","Z47.0 Seguim env rem placa frat outr disp fix int",NA,NA,NA
"G919",7,NA,NA,NA,"Hidrocefalia não especificada","G91.9 Hidrocefalia NE",NA,NA,NA
"J159",7,NA,NA,NA,"Pneumonia bacteriana não especificada","J15.9 Pneumonia bacter NE",NA,NA,NA
"J209",7,NA,NA,NA,"Bronquite aguda não especificada","J20.9 Bronquite aguda NE",NA,NA,NA
"K350",7,NA,NA,NA,"Apendicite aguda com peritonite generalizada","K35.0 Apendicite aguda c/peritonite generalizada",NA,NA,NA
"P221",7,NA,NA,NA,"Taquipnéia transitória do recém-nascido","P22.1 Taquipneia transitoria do recem-nascido",NA,NA,NA
"P285",7,NA,NA,NA,"Insuficiência respiratória do recém-nascido","P28.5 Insuf respirat do recem-nascido",NA,NA,NA
"P928",7,NA,NA,NA,"Outros problemas de alimentação do recém-nascido","P92.8 Outr problemas de alimentacao recem-nascido",NA,NA,NA
"S913",7,NA,NA,NA,"Ferimento de outras partes do pé","S91.3 Ferim de outr partes do pe",NA,NA,NA
"A085",6,NA,NA,NA,"Outras infecções intestinais especificadas","A08.5 Outr infecc intestinais espec",NA,NA,NA
"K219",6,NA,NA,NA,"Doença de refluxo gastroesofágico sem esofagite","K21.9 Doenc de refluxo gastroesofagico s/esofagite",NA,NA,NA
"L720",6,NA,NA,"N","Cisto epidérmico","L72.0 Cisto epidermico",NA,NA,NA
"Q668",6,NA,NA,"N","Outras deformidades congênitas do pé","Q66.8 Outr deform congen do pe",NA,NA,NA
"S723",6,NA,NA,NA,"Fratura da diáfise do fêmur","S72.3 Frat da diafise do femur",NA,NA,NA
"B018",5,NA,NA,NA,"Varicela com outras complicações","B01.8 Varicela c/outr complic",NA,NA,NA
"B019",5,NA,NA,NA,"Varicela sem complicação","B01.9 Varicela s/complic",NA,NA,NA
"D693",5,NA,NA,NA,"Púrpura trombocitopênica idiopática","D69.3 Purpura trombocitopenica idiopatica",NA,NA,NA
"G809",5,NA,NA,NA,"Paralisia cerebral não especificada","G80.9 Paralisia cerebral NE",NA,NA,NA
"H659",5,NA,NA,NA,"Otite média não-supurativa, não especificada","H65.9 Otite media nao-supurativa NE",NA,NA,NA
"J110",5,NA,NA,NA,"Influenza [gripe] com pneumonia, devida a vírus não identificado","J11.0 Influenza c/pneumonia dev virus nao ident",NA,NA,NA
"K222",5,NA,NA,NA,"Obstrução do esôfago","K22.2 Obstrucao do esofago",NA,NA,NA
"K529",5,NA,NA,NA,"Gastroenterite e colite não-infecciosas, não especificadas","K52.9 Gastroenterite e colite nao-infecc NE",NA,NA,NA
"L029",5,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz de localização não especificada","L02.9 Abscesso cutaneo furunculo e antraz loc NE",NA,NA,NA
"L989",5,NA,NA,"N","Afecções da pele e do tecido subcutâneo, não especificados","L98.9 Afeccoes da pele e do tec subcutaneo NE",NA,NA,NA
"P072",5,NA,NA,NA,"Imaturidade extrema","P07.2 Imaturidade extrema",NA,NA,NA
"P298",5,NA,NA,NA,"Outros transtornos cardiovasculares originados no período perinatal","P29.8 Outr transt cardiovasc orig periodo perinat",NA,NA,NA
"Q210",5,NA,NA,NA,"Comunicação interventricular","Q21.0 Comunicacao interventricular",NA,NA,NA
"Q709",5,NA,NA,"N","Sindactilia não especificada","Q70.9 Sindactilia NE",NA,NA,NA
"Q892",5,NA,NA,NA,"Malformações congênitas de outras glândulas endócrinas","Q89.2 Malformacoes congen de outr gland endocrinas",NA,NA,NA
"R104",5,NA,NA,NA,"Outras dores abdominais e as não especificadas","R10.4 Outr dores abdominais e as NE",NA,NA,NA
"R568",5,NA,NA,NA,"Outras convulsões e as não especificadas","R56.8 Outr convulsoes e as NE",NA,NA,NA
"Z478",5,NA,NA,NA,"Outros seguimentos ortopédicos especificados","Z47.8 Outr seguimentos ortopedicos espec",NA,NA,NA
"C692",4,NA,NA,NA,"Neoplasia maligna da retina","C69.2 Retina",NA,NA,NA
"D692",4,NA,NA,NA,"Outras púrpuras não-trombocitopênicas","D69.2 Outr purpuras nao-trombocitopenicas",NA,NA,NA
"E86",4,NA,NA,NA,"Depleção de volume","E86   Deplecao de volume",NA,NA,NA
"G408",4,NA,NA,NA,"Outras epilepsias","G40.8 Outr epilepsias",NA,NA,NA
"G418",4,NA,NA,NA,"Outros estados de mal epiléptico","G41.8 Outr estados de mal epileptico",NA,NA,NA
"H660",4,NA,NA,NA,"Otite média aguda supurativa","H66.0 Otite media aguda supurativa",NA,NA,NA
"I878",4,NA,NA,NA,"Outros transtornos venosos especificados","I87.8 Outr transt venosos espec",NA,NA,NA
"J042",4,NA,NA,NA,"Laringotraqueíte aguda","J04.2 Laringotraqueite aguda",NA,NA,NA
"J352",4,NA,NA,"N","Hipertrofia das adenóides","J35.2 Hipertrofia das adenoides",NA,NA,NA
"J40",4,NA,NA,NA,"Bronquite não especificada como aguda ou crônica","J40   Bronquite NE como aguda ou cronica",NA,NA,NA
"K564",4,NA,NA,NA,"Outras obstruções do intestino","K56.4 Outr obstrucoes do intestino",NA,NA,NA
"L028",4,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz de outras localizações","L02.8 Abscesso cutaneo furunculo e antraz outr loc",NA,NA,NA
"L905",4,NA,NA,"N","Cicatrizes e fibrose cutânea","L90.5 Cicatrizes e fibrose cutanea",NA,NA,NA
"P210",4,NA,NA,NA,"Asfixia grave ao nascer","P21.0 Asfixia grave ao nascer",NA,NA,NA
"P240",4,NA,NA,NA,"Aspiração neonatal de mecônio","P24.0 Aspiracao neonatal de meconio",NA,NA,NA
"P589",4,NA,NA,NA,"Icterícia neonatal devida a hemólise excessiva não especificada","P58.9 Ictericia neonatal dev hemolise excessiva NE",NA,NA,NA
"Q780",4,NA,NA,NA,"Osteogênese imperfeita","Q78.0 Osteogenese imperfeita",NA,NA,NA
"R05",4,NA,NA,NA,"Tosse","R05   Tosse",NA,NA,NA
"S069",4,NA,NA,NA,"Traumatismo intracraniano, não especificado","S06.9 Traum intracraniano NE",NA,NA,NA
"T16",4,NA,NA,NA,"Corpo estranho no ouvido","T16   Corpo estranho no ouvido",NA,NA,NA
"A080",3,NA,NA,NA,"Enterite por rotavírus","A08.0 Enterite p/rotavirus",NA,NA,NA
"A379",3,NA,NA,NA,"Coqueluche não especificada","A37.9 Coqueluche NE",NA,NA,NA
"A415",3,NA,NA,NA,"Septicemia por outros microorganismos gram-negativos","A41.5 Septicemia p/outr microorg gram-negativos",NA,NA,NA
"A86",3,NA,NA,NA,"Encefalite viral, não especificada","A86   Encefalite viral NE",NA,NA,NA
"A89",3,NA,NA,NA,"Infecções virais não especificadas do sistema nervoso central","A89   Infecc virais NE do sist nervoso central",NA,NA,NA
"A90",3,NA,NA,NA,"Dengue [dengue clássico]","A90   Dengue",NA,NA,NA
"C710",3,NA,NA,NA,"Neoplasia maligna do cérebro, exceto lobos e ventrículos","C71.0 Cerebro exceto lobos e ventriculos",NA,NA,NA
"C749",3,NA,NA,NA,"Neoplasia maligna da glândula supra-renal, não especificada","C74.9 Gland supra-renal NE",NA,NA,NA
"D179",3,NA,NA,NA,"Neoplasia lipomatosa benigna de localização não especificada","D17.9 Neoplasia lipomatosa benigna de localiz NE",NA,NA,NA
"D571",3,NA,NA,NA,"Anemia falciforme sem crise","D57.1 Anemia falciforme s/crise",NA,NA,NA
"F840",3,NA,NA,NA,"Autismo infantil","F84.0 Autismo infantil",NA,NA,NA
"G400",3,NA,NA,NA,"Epilepsia e síndromes epilépticas idiopáticas definidas por sua localização (focal) (parcial) com crises de início focal","G40.0 Epilep sind epil idiop def loc cris inic foc",NA,NA,NA
"G479",3,NA,NA,NA,"Distúrbio do sono, não especificado","G47.9 Disturbio do sono NE",NA,NA,NA
"H502",3,NA,NA,"N","Estrabismo vertical","H50.2 Estrabismo vertical",NA,NA,NA
"H508",3,NA,NA,"N","Outros estrabismos especificados","H50.8 Outr estrabismos espec",NA,NA,NA
"J069",3,NA,NA,"N","Infecção aguda das vias aéreas superiores não especificada","J06.9 Infecc aguda das vias aereas super NE",NA,NA,NA
"J351",3,NA,NA,"N","Hipertrofia das amígdalas","J35.1 Hipertrofia das amigdalas",NA,NA,NA
"J359",3,NA,NA,"N","Doenças das amígdalas e das adenóides não especificadas","J35.9 Doenc das amigdalas e das adenoides NE",NA,NA,NA
"J450",3,NA,NA,NA,"Asma predominantemente alérgica","J45.0 Asma predom alergica",NA,NA,NA
"J46",3,NA,NA,NA,"Estado de mal asmático","J46   Estado de mal asmatico",NA,NA,NA
"K122",3,NA,NA,NA,"Celulite e abscesso da boca","K12.2 Celulite e abscesso da boca",NA,NA,NA
"K137",3,NA,NA,NA,"Outras lesões e as não especificadas da mucosa oral","K13.7 Outr lesoes e as NE da mucosa oral",NA,NA,NA
"K561",3,NA,NA,NA,"Intussuscepção","K56.1 Intussuscepcao",NA,NA,NA
"K921",3,NA,NA,NA,"Melena","K92.1 Melena",NA,NA,NA
"K922",3,NA,NA,NA,"Hemorragia gastrointestinal, sem outra especificação","K92.2 Hemorragia gastrointestinal SOE",NA,NA,NA
"K928",3,NA,NA,NA,"Outras doenças especificadas do aparelho digestivo","K92.8 Outr doenc espec do aparelho digestivo",NA,NA,NA
"L020",3,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz da face","L02.0 Abscesso cutaneo furunculo e antraz face",NA,NA,NA
"L209",3,NA,NA,"N","Dermatite atópica, não especificada","L20.9 Dermatite atopica NE",NA,NA,NA
"L509",3,NA,NA,NA,"Urticária não especificada","L50.9 Urticaria NE",NA,NA,NA
"L998",3,"*",NA,NA,"Outras afecções especificadas da pele e do tecido subcutâneo em doenças classificadas em outra parte","L99.8 Outr afecc espec pele tec subcut doenc COP",NA,NA,NA
"M653",3,NA,NA,"N","Dedo em gatilho","M65.3 Dedo em gatilho",NA,NA,NA
"N130",3,NA,NA,NA,"Hidronefrose com obstrução da junção uretero-pélvica","N13.0 Hidronefrose c/obstr juncao uretero-pelvica",NA,NA,NA
"N398",3,NA,NA,NA,"Outros transtornos especificados do aparelho urinário","N39.8 Outr transt espec do aparelho urinario",NA,NA,NA
"P081",3,NA,NA,NA,"Outros recém-nascidos grandes para a idade gestacional","P08.1 Outr recem-nascidos grandes p/a idade gestac",NA,NA,NA
"P134",3,NA,NA,NA,"Fratura da clavícula devida a traumatismo de parto","P13.4 Frat da clavicula dev traum de parto",NA,NA,NA
"P925",3,NA,NA,NA,"Dificuldade neonatal na amamentação no peito","P92.5 Dificuldade neonatal na amamentacao no peito",NA,NA,NA
"Q181",3,NA,NA,"N","Seio, fístula e cisto pré-auricular","Q18.1 Seio fistula e cisto pre-auricular",NA,NA,NA
"Q257",3,NA,NA,NA,"Outras malformações congênitas da artéria pulmonar","Q25.7 Outr malformacoes congen da arteria pulmonar",NA,NA,NA
"Q431",3,NA,NA,NA,"Doença de Hirschsprung","Q43.1 Doenc de Hirschsprung",NA,NA,NA
"Q525",3,NA,"F",NA,"Fusão dos lábios vulvares","Q52.5 Fusao dos labios vulvares",NA,NA,NA
"Q530",3,NA,"M",NA,"Testículo ectópico","Q53.0 Testiculo ectopico",NA,NA,NA
"Q532",3,NA,"M",NA,"Testículo não-descido, bilateral","Q53.2 Testiculo nao-descido bilateral",NA,NA,NA
"Q748",3,NA,NA,"N","Outras malformações congênitas especificadas de membro(s)","Q74.8 Outr malformacoes congen espec de membros",NA,NA,NA
"R040",3,NA,NA,NA,"Epistaxis","R04.0 Epistaxis",NA,NA,NA
"R11",3,NA,NA,NA,"Náusea e vômitos","R11   Nausea e vomitos",NA,NA,NA
"T180",3,NA,NA,NA,"Corpo estranho na boca","T18.0 Corpo estranho na boca",NA,NA,NA
"T189",3,NA,NA,NA,"Corpo estranho em parte não especificada do aparelho digestivo","T18.9 Corpo estranho em parte NE ap digestivo",NA,NA,NA
"T293",3,NA,NA,NA,"Queimaduras múltiplas, mencionando ao menos uma queimadura de terceiro grau","T29.3 Queim mult menc ao menos uma queim de 3.grau",NA,NA,NA
"T509",3,NA,NA,NA,"Intoxicação por outras drogas, medicamentos e substâncias biológicas e as não especificadas","T50.9 Outr drogas medicamentos subst biolog e NE",NA,NA,NA
"A310",2,NA,NA,NA,"Infecção pulmonar micobacteriana","A31.0 Infecc pulmonar micobacteriana",NA,NA,NA
"A318",2,NA,NA,NA,"Outras infecções micobacterianas","A31.8 Outr infecc micobacterianas",NA,NA,NA
"A411",2,NA,NA,NA,"Septicemia por outros estafilococos especificados","A41.1 Septicemia p/outr estafilococos espec",NA,NA,NA
"A491",2,NA,NA,NA,"Infecção estreptocócica de localização não especificada","A49.1 Infecc estreptococica localiz NE",NA,NA,NA
"A498",2,NA,NA,NA,"Outras infecções bacterianas de localização não especificada","A49.8 Outr infecc bacterianas localiz NE",NA,NA,NA
"D180",2,NA,NA,NA,"Hemangioma de qualquer localização","D18.0 Hemangioma de qualquer localiz",NA,NA,NA
"D360",2,NA,NA,NA,"Neoplasia benigna dos gânglios linfáticos (linfonodos)","D36.0 Ganglios linfaticos",NA,NA,NA
"D578",2,NA,NA,NA,"Outros transtornos falciformes","D57.8 Outr transt falciformes",NA,NA,NA
"D649",2,NA,NA,NA,"Anemia não especificada","D64.9 Anemia NE",NA,NA,NA
"D696",2,NA,NA,NA,"Trombocitopenia não especificada","D69.6 Trombocitopenia NE",NA,NA,NA
"D699",2,NA,NA,NA,"Afecção hemorrágica não especificada","D69.9 Afeccao hemorragica NE",NA,NA,NA
"E872",2,NA,NA,NA,"Acidose","E87.2 Acidose",NA,NA,NA
"G060",2,NA,NA,NA,"Abscesso e granuloma intracranianos","G06.0 Abscesso e granuloma intracranianos",NA,NA,NA
"H509",2,NA,NA,"N","Estrabismo não especificado","H50.9 Estrabismo NE",NA,NA,NA
"H650",2,NA,NA,NA,"Otite média aguda serosa","H65.0 Otite media aguda serosa",NA,NA,NA
"H652",2,NA,NA,NA,"Otite média serosa crônica","H65.2 Otite media serosa cronica",NA,NA,NA
"H664",2,NA,NA,NA,"Otite média supurativa não especificada","H66.4 Otite media supurativa NE",NA,NA,NA
"H700",2,NA,NA,NA,"Mastoidite aguda","H70.0 Mastoidite aguda",NA,NA,NA
"H709",2,NA,NA,NA,"Mastoidite não especificada","H70.9 Mastoidite NE",NA,NA,NA
"H919",2,NA,NA,"N","Perda não especificada de audição","H91.9 Perda NE de audicao",NA,NA,NA
"I279",2,NA,NA,NA,"Cardiopatia pulmonar não especificada","I27.9 Cardiopatia pulmonar NE",NA,NA,NA
"I471",2,NA,NA,NA,"Taquicardia supraventricular","I47.1 Taquicardia supraventricular",NA,NA,NA
"J188",2,NA,NA,NA,"Outras pneumonias devidas a microorganismos não especificados","J18.8 Outr pneumonias dev microorg NE",NA,NA,NA
"J358",2,NA,NA,"N","Outras doenças crônicas das amígdalas e das adenóides","J35.8 Outr doenc cronicas amigdalas e adenoides",NA,NA,NA
"J36",2,NA,NA,NA,"Abscesso periamigdaliano","J36   Abscesso periamigdaliano",NA,NA,NA
"J451",2,NA,NA,NA,"Asma não-alérgica","J45.1 Asma nao-alergica",NA,NA,NA
"J869",2,NA,NA,NA,"Piotórax sem fístula","J86.9 Piotorax s/fistula",NA,NA,NA
"J942",2,NA,NA,NA,"Hemotórax","J94.2 Hemotorax",NA,NA,NA
"J958",2,NA,NA,NA,"Outros transtornos respiratórios pós-procedimentos","J95.8 Outr transt respirat pos-proced",NA,NA,NA
"K403",2,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena","K40.3 Hernia inguinal unilat NE c/obstr s/gangrena",NA,NA,NA
"K610",2,NA,NA,NA,"Abscesso anal","K61.0 Abscesso anal",NA,NA,NA
"K638",2,NA,NA,NA,"Outras doenças especificadas do intestino","K63.8 Outr doenc espec do intestino",NA,NA,NA
"L021",2,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz do pescoço","L02.1 Abscesso cutaneo furunculo e antraz pescoco",NA,NA,NA
"L023",2,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz da nádega","L02.3 Abscesso cutaneo furunculo e antraz nadega",NA,NA,NA
"L024",2,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz do(s) membro(s)","L02.4 Abscesso cutaneo furunculo e antraz membros",NA,NA,NA
"L030",2,NA,NA,"N","Celulite de dedos das mãos e dos pés","L03.0 Celulite de dedos das maos e dos pes",NA,NA,NA
"L080",2,NA,NA,"N","Piodermite","L08.0 Piodermite",NA,NA,NA
"L729",2,NA,NA,"N","Cisto folicular, não especificado da pele e do tecido subcutâneo","L72.9 Cisto folicular NE da pele e tec subcutaneo",NA,NA,NA
"L97",2,NA,NA,NA,"Úlcera dos membros inferiores não classificada em outra parte","L97   Ulcera dos membros infer NCOP",NA,NA,NA
"M009",2,NA,NA,NA,"Artrite piogênica, não especificada","M00.9 Artrite piogenica NE",NA,NA,NA
"M609",2,NA,NA,"N","Miosite não especificada","M60.9 Miosite NE",NA,NA,NA
"N040",2,NA,NA,NA,"Síndrome nefrótica - anormalidade glomerular minor","N04.0 Anormalidade glomerular minor",NA,NA,NA
"N041",2,NA,NA,NA,"Síndrome nefrótica - lesões glomerulares focais e segmentares","N04.1 Lesoes glomerulares focais e segmentares",NA,NA,NA
"N048",2,NA,NA,NA,"Síndrome nefrótica - outras","N04.8 Outr",NA,NA,NA
"N179",2,NA,NA,NA,"Insuficiência renal aguda não especificada","N17.9 Insuf renal aguda NE",NA,NA,NA
"N432",2,NA,"M",NA,"Outra hidrocele","N43.2 Outr hidrocele",NA,NA,NA
"N44",2,NA,"M",NA,"Torção do testículo","N44   Torcao do testiculo",NA,NA,NA
"N509",2,NA,"M",NA,"Transtorno não especificado dos órgãos genitais masculinos","N50.9 Transt NE dos orgaos genitais masc",NA,NA,NA
"P008",2,NA,NA,NA,"Feto e recém-nascido afetados por outras afecções maternas","P00.8 Fet rec-nasc afet outr afeccoes maternas",NA,NA,NA
"P070",2,NA,NA,NA,"Recém-nascido com peso muito baixo","P07.0 Recem-nascido c/peso muito baixo",NA,NA,NA
"P071",2,NA,NA,NA,"Outros recém-nascidos de peso baixo","P07.1 Outr recem-nascidos de peso baixo",NA,NA,NA
"P282",2,NA,NA,NA,"Crises cianóticas do recém-nascido","P28.2 Crises cianoticas do recem-nascido",NA,NA,NA
"P371",2,NA,NA,NA,"Toxoplasmose congênita","P37.1 Toxoplasmose congen",NA,NA,NA
"P394",2,NA,NA,NA,"Infecção neonatal da pele","P39.4 Infecc neonatal da pele",NA,NA,NA
"P509",2,NA,NA,NA,"Perda sangüínea fetal não especificada","P50.9 Perda sanguinea fetal NE",NA,NA,NA
"P551",2,NA,NA,NA,"Isoimunização ABO do feto e do recém-nascido","P55.1 Isoimunizacao ABO do feto e do recem-nascido",NA,NA,NA
"P598",2,NA,NA,NA,"Icterícia neonatal devida a outras causas especificadas","P59.8 Ictericia neonatal dev outr causas espec",NA,NA,NA
"P835",2,NA,NA,NA,"Hidrocele congênita","P83.5 Hidrocele congen",NA,NA,NA
"Q178",2,NA,NA,"N","Outras malformações congênitas especificadas da orelha","Q17.8 Outr malformacoes congen espec da orelha",NA,NA,NA
"Q234",2,NA,NA,NA,"Síndrome do coração esquerdo hipoplásico","Q23.4 Sindr do coracao esquerdo hipoplasico",NA,NA,NA
"Q369",2,NA,NA,NA,"Fenda labial unilateral","Q36.9 Fenda labial unilateral",NA,NA,NA
"Q375",2,NA,NA,NA,"Fenda dos palatos duro e mole com fenda labial unilateral","Q37.5 Fenda palatos duro mole c/fend labial unilat",NA,NA,NA
"Q381",2,NA,NA,"N","Anquiloglossia","Q38.1 Anquiloglossia",NA,NA,NA
"Q444",2,NA,NA,NA,"Cisto do colédoco","Q44.4 Cisto do coledoco",NA,NA,NA
