"DIAG_PRINC","n","CLASSIF","RESTRSEXO","CAUSAOBITO","DESCRICAO","DESCRABREV","REFER","EXCLUIDOS","...9"
"A488",4,NA,NA,NA,"Outras doenças bacterianas especificadas","A48.8 Outr doenc bacter espec",NA,NA,NA
"A90",4,NA,NA,NA,"Dengue [dengue clássico]","A90   Dengue",NA,NA,NA
"G408",4,NA,NA,NA,"Outras epilepsias","G40.8 Outr epilepsias",NA,NA,NA
"G419",4,NA,NA,NA,"Estado de mal epiléptico, não especificado","G41.9 Estado de mal epileptico NE",NA,NA,NA
"G911",4,NA,NA,NA,"Hidrocefalia obstrutiva","G91.1 Hidrocefalia obstrutiva",NA,NA,NA
"H659",4,NA,NA,NA,"Otite média não-supurativa, não especificada","H65.9 Otite media nao-supurativa NE",NA,NA,NA
"H669",4,NA,NA,NA,"Otite média não especificada","H66.9 Otite media NE",NA,NA,NA
"J40",4,NA,NA,NA,"Bronquite não especificada como aguda ou crônica","J40   Bronquite NE como aguda ou cronica",NA,NA,NA
"K529",4,NA,NA,NA,"Gastroenterite e colite não-infecciosas, não especificadas","K52.9 Gastroenterite e colite nao-infecc NE",NA,NA,NA
"K593",4,NA,NA,NA,"Megacólon não classificado em outra parte","K59.3 Megacolon NCOP",NA,NA,NA
"L010",4,NA,NA,"N","Impetigo [qualquer localização] [qualquer microorganismo]","L01.0 Impetigo",NA,NA,NA
"N049",4,NA,NA,NA,"Síndrome nefrótica - não especificada","N04.9 NE",NA,NA,NA
"N398",4,NA,NA,NA,"Outros transtornos especificados do aparelho urinário","N39.8 Outr transt espec do aparelho urinario",NA,NA,NA
"N481",4,NA,"M",NA,"Balanopostite","N48.1 Balanopostite",NA,NA,NA
"P081",4,NA,NA,NA,"Outros recém-nascidos grandes para a idade gestacional","P08.1 Outr recem-nascidos grandes p/a idade gestac",NA,NA,NA
"P134",4,NA,NA,NA,"Fratura da clavícula devida a traumatismo de parto","P13.4 Frat da clavicula dev traum de parto",NA,NA,NA
"P221",4,NA,NA,NA,"Taquipnéia transitória do recém-nascido","P22.1 Taquipneia transitoria do recem-nascido",NA,NA,NA
"P298",4,NA,NA,NA,"Outros transtornos cardiovasculares originados no período perinatal","P29.8 Outr transt cardiovasc orig periodo perinat",NA,NA,NA
"P551",4,NA,NA,NA,"Isoimunização ABO do feto e do recém-nascido","P55.1 Isoimunizacao ABO do feto e do recem-nascido",NA,NA,NA
"P925",4,NA,NA,NA,"Dificuldade neonatal na amamentação no peito","P92.5 Dificuldade neonatal na amamentacao no peito",NA,NA,NA
"Q181",4,NA,NA,"N","Seio, fístula e cisto pré-auricular","Q18.1 Seio fistula e cisto pre-auricular",NA,NA,NA
"Q213",4,NA,NA,NA,"Tetralogia de Fallot","Q21.3 Tetralogia de Fallot",NA,NA,NA
"Q250",4,NA,NA,NA,"Permeabilidade do canal arterial","Q25.0 Permeabilidade do canal arterial",NA,NA,NA
"Q549",4,NA,"M",NA,"Hipospádia não especificada","Q54.9 Hipospadia NE",NA,NA,NA
"R02",4,NA,NA,NA,"Gangrena não classificada em outra parte","R02   Gangrena NCOP",NA,NA,NA
"S528",4,NA,NA,NA,"Fratura de outras partes do antebraço","S52.8 Frat de outr partes do antebraco",NA,NA,NA
"T293",4,NA,NA,NA,"Queimaduras múltiplas, mencionando ao menos uma queimadura de terceiro grau","T29.3 Queim mult menc ao menos uma queim de 3.grau",NA,NA,NA
"A060",3,NA,NA,NA,"Disenteria amebiana aguda","A06.0 Disenteria amebiana aguda",NA,NA,NA
"A085",3,NA,NA,NA,"Outras infecções intestinais especificadas","A08.5 Outr infecc intestinais espec",NA,NA,NA
"A879",3,NA,NA,NA,"Meningite viral não especificada","A87.9 Meningite viral NE",NA,NA,NA
"D580",3,NA,NA,NA,"Esferocitose hereditária","D58.0 Esferocitose hereditaria",NA,NA,NA
"G608",3,NA,NA,NA,"Outras neuropatias hereditárias e idiopáticas","G60.8 Outr neuropatias hereditarias e idiopaticas",NA,NA,NA
"G918",3,NA,NA,NA,"Outras formas de hidrocefalia","G91.8 Outr form de hidrocefalia",NA,NA,NA
"H269",3,NA,NA,"N","Catarata não especificada","H26.9 Catarata NE",NA,NA,NA
"H508",3,NA,NA,"N","Outros estrabismos especificados","H50.8 Outr estrabismos espec",NA,NA,NA
"J386",3,NA,NA,NA,"Estenose da laringe","J38.6 Estenose da laringe",NA,NA,NA
"K403",3,NA,NA,NA,"Hérnia inguinal unilateral ou não especificada, com obstrução sem gangrena","K40.3 Hernia inguinal unilat NE c/obstr s/gangrena",NA,NA,NA
"K564",3,NA,NA,NA,"Outras obstruções do intestino","K56.4 Outr obstrucoes do intestino",NA,NA,NA
"K566",3,NA,NA,NA,"Outras formas de obstrução intestinal, e as não especificadas","K56.6 Outr form de obstrucao intestinal e as NE",NA,NA,NA
"K928",3,NA,NA,NA,"Outras doenças especificadas do aparelho digestivo","K92.8 Outr doenc espec do aparelho digestivo",NA,NA,NA
"L024",3,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz do(s) membro(s)","L02.4 Abscesso cutaneo furunculo e antraz membros",NA,NA,NA
"L029",3,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz de localização não especificada","L02.9 Abscesso cutaneo furunculo e antraz loc NE",NA,NA,NA
"L080",3,NA,NA,"N","Piodermite","L08.0 Piodermite",NA,NA,NA
"M009",3,NA,NA,NA,"Artrite piogênica, não especificada","M00.9 Artrite piogenica NE",NA,NA,NA
"M139",3,NA,NA,NA,"Artrite não especificada","M13.9 Artrite NE",NA,NA,NA
"P210",3,NA,NA,NA,"Asfixia grave ao nascer","P21.0 Asfixia grave ao nascer",NA,NA,NA
"P288",3,NA,NA,NA,"Outras afecções respiratórias especificadas do recém-nascido","P28.8 Outr afeccoes respirat espec do recem-nasc",NA,NA,NA
"P398",3,NA,NA,NA,"Outras infecções especificadas próprias do período perinatal","P39.8 Outr infecc espec proprias periodo perinatal",NA,NA,NA
"P53",3,NA,NA,NA,"Doença hemorrágica do feto e do recém-nascido","P53   Doenc hemorragica do feto e do recem-nascido",NA,NA,NA
"P968",3,NA,NA,NA,"Outras afecções especificadas originadas no período perinatal","P96.8 Outr afeccoes espec orig periodo perinatal",NA,NA,NA
"Q019",3,NA,NA,NA,"Encefalocele não especificada","Q01.9 Encefalocele NE",NA,NA,NA
"Q211",3,NA,NA,NA,"Comunicação interatrial","Q21.1 Comunicacao interatrial",NA,NA,NA
"Q220",3,NA,NA,NA,"Atresia da valva pulmonar","Q22.0 Atresia da valva pulmonar",NA,NA,NA
"Q249",3,NA,NA,NA,"Malformação não especificada do coração","Q24.9 Malformacao NE do coracao",NA,NA,NA
"Q375",3,NA,NA,NA,"Fenda dos palatos duro e mole com fenda labial unilateral","Q37.5 Fenda palatos duro mole c/fend labial unilat",NA,NA,NA
"Q381",3,NA,NA,"N","Anquiloglossia","Q38.1 Anquiloglossia",NA,NA,NA
"Q690",3,NA,NA,"N","Dedo(s) da mão supranumerário(s)","Q69.0 Dedos da mao supranumerarios",NA,NA,NA
"Q699",3,NA,NA,"N","Polidactilia não especificada","Q69.9 Polidactilia NE",NA,NA,NA
"Q709",3,NA,NA,"N","Sindactilia não especificada","Q70.9 Sindactilia NE",NA,NA,NA
"Q892",3,NA,NA,NA,"Malformações congênitas de outras glândulas endócrinas","Q89.2 Malformacoes congen de outr gland endocrinas",NA,NA,NA
"R104",3,NA,NA,NA,"Outras dores abdominais e as não especificadas","R10.4 Outr dores abdominais e as NE",NA,NA,NA
"R34",3,NA,NA,NA,"Anúria e oligúria","R34   Anuria e oliguria",NA,NA,NA
"R509",3,NA,NA,NA,"Febre não especificada","R50.9 Febre NE",NA,NA,NA
"S015",3,NA,NA,NA,"Ferimento do lábio e da cavidade oral","S01.5 Ferim do labio e da cavidade oral",NA,NA,NA
"S064",3,NA,NA,NA,"Hemorragia epidural","S06.4 Hemorragia epidural",NA,NA,NA
"S525",3,NA,NA,NA,"Fratura da extremidade distal do rádio","S52.5 Frat da extremidade distal do radio",NA,NA,NA
"T180",3,NA,NA,NA,"Corpo estranho na boca","T18.0 Corpo estranho na boca",NA,NA,NA
"A394",2,NA,NA,NA,"Meningococcemia não especificada","A39.4 Meningococcemia NE",NA,NA,NA
"A46",2,NA,NA,NA,"Erisipela","A46   Erisipela",NA,NA,NA
"A689",2,NA,NA,NA,"Febre recorrente não especificada","A68.9 Febre recorrente NE",NA,NA,NA
"A878",2,NA,NA,NA,"Outras meningites virais","A87.8 Outr meningites virais",NA,NA,NA
"C967",2,NA,NA,NA,"Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos","C96.7 Outr neop mal espec tec linf hematop e corr",NA,NA,NA
"D509",2,NA,NA,NA,"Anemia por deficiência de ferro não especificada","D50.9 Anemia p/defic de ferro NE",NA,NA,NA
"D571",2,NA,NA,NA,"Anemia falciforme sem crise","D57.1 Anemia falciforme s/crise",NA,NA,NA
"D613",2,NA,NA,NA,"Anemia aplástica idiopática","D61.3 Anemia aplastica idiopatica",NA,NA,NA
"D649",2,NA,NA,NA,"Anemia não especificada","D64.9 Anemia NE",NA,NA,NA
"D729",2,NA,NA,NA,"Transtornos não especificados dos glóbulos brancos","D72.9 Transt NE dos globulos brancos",NA,NA,NA
"E889",2,NA,NA,NA,"Distúrbio metabólico não especificado","E88.9 Disturbio metabolico NE",NA,NA,NA
"G432",2,NA,NA,"N","Estado de mal enxaquecoso","G43.2 Estado de mal enxaquecoso",NA,NA,NA
"H500",2,NA,NA,"N","Estrabismo convergente concomitante","H50.0 Estrabismo convergente concomitante",NA,NA,NA
"H709",2,NA,NA,NA,"Mastoidite não especificada","H70.9 Mastoidite NE",NA,NA,NA
"I500",2,NA,NA,NA,"Insuficiência cardíaca congestiva","I50.0 Insuf cardiaca congestiva",NA,NA,NA
"I509",2,NA,NA,NA,"Insuficiência cardíaca não especificada","I50.9 Insuf cardiaca NE",NA,NA,NA
"I889",2,NA,NA,NA,"Linfadenite não especificada","I88.9 Linfadenite NE",NA,NA,NA
"J030",2,NA,NA,NA,"Amigdalite estreptocócica","J03.0 Amigdalite estreptococica",NA,NA,NA
"J158",2,NA,NA,NA,"Outras pneumonias bacterianas","J15.8 Outr pneumonias bacter",NA,NA,NA
"J46",2,NA,NA,NA,"Estado de mal asmático","J46   Estado de mal asmatico",NA,NA,NA
"J853",2,NA,NA,NA,"Abscesso do mediastino","J85.3 Abscesso do mediastino",NA,NA,NA
"J955",2,NA,NA,NA,"Estenose subglótica pós-procedimento","J95.5 Estenose subglotica pos-proced",NA,NA,NA
"K210",2,NA,NA,NA,"Doença de refluxo gastroesofágico com esofagite","K21.0 Doenc de refluxo gastroesofagico c/esofagite",NA,NA,NA
"K219",2,NA,NA,NA,"Doença de refluxo gastroesofágico sem esofagite","K21.9 Doenc de refluxo gastroesofagico s/esofagite",NA,NA,NA
"K229",2,NA,NA,NA,"Doença do esôfago, sem outra especificação","K22.9 Doenc do esofago SOE",NA,NA,NA
"K297",2,NA,NA,NA,"Gastrite não especificada","K29.7 Gastrite NE",NA,NA,NA
"K319",2,NA,NA,NA,"Doenças do estômago e do duodeno, sem outra especificação","K31.9 Doenc do estomago e do duodeno SOE",NA,NA,NA
"K350",2,NA,NA,NA,"Apendicite aguda com peritonite generalizada","K35.0 Apendicite aguda c/peritonite generalizada",NA,NA,NA
"K419",2,NA,NA,NA,"Hérnia femoral unilateral ou não especificada, sem obstrução ou gangrena","K41.9 Hernia femoral unilat NE s/obstr ou gangrena",NA,NA,NA
"K420",2,NA,NA,NA,"Hérnia umbilical com obstrução, sem gangrena","K42.0 Hernia umbilical c/obstrucao s/gangrena",NA,NA,NA
"K439",2,NA,NA,NA,"Hérnia ventral sem obstrução ou gangrena","K43.9 Hernia ventral s/obstrucao ou gangrena",NA,NA,NA
"K598",2,NA,NA,NA,"Outros transtornos funcionais especificados do intestino","K59.8 Outr transt funcionais espec do intestino",NA,NA,NA
"K599",2,NA,NA,NA,"Transtorno intestinal funcional, não especificado","K59.9 Transt intestinal funcional NE",NA,NA,NA
"K631",2,NA,NA,NA,"Perfuração do intestino (não-traumática)","K63.1 Perfuracao do intestino",NA,NA,NA
"K638",2,NA,NA,NA,"Outras doenças especificadas do intestino","K63.8 Outr doenc espec do intestino",NA,NA,NA
"L020",2,NA,NA,NA,"Abscesso cutâneo, furúnculo e antraz da face","L02.0 Abscesso cutaneo furunculo e antraz face",NA,NA,NA
"L729",2,NA,NA,"N","Cisto folicular, não especificado da pele e do tecido subcutâneo","L72.9 Cisto folicular NE da pele e tec subcutaneo",NA,NA,NA
"L97",2,NA,NA,NA,"Úlcera dos membros inferiores não classificada em outra parte","L97   Ulcera dos membros infer NCOP",NA,NA,NA
"L989",2,NA,NA,"N","Afecções da pele e do tecido subcutâneo, não especificados","L98.9 Afeccoes da pele e do tec subcutaneo NE",NA,NA,NA
"M008",2,NA,NA,NA,"Artrite e poliartrite devidas a outro agente bacteriano especificado","M00.8 Artrite poliartr dev outr agent bacter espec",NA,NA,NA
"M840",2,NA,NA,NA,"Defeito de consolidação da fratura","M84.0 Defeito de consolidacao da frat",NA,NA,NA
"N288",2,NA,NA,NA,"Outros transtornos especificados do rim e do ureter","N28.8 Outr transt espec do rim e do ureter",NA,NA,NA
"N44",2,NA,"M",NA,"Torção do testículo","N44   Torcao do testiculo",NA,NA,NA
"P251",2,NA,NA,NA,"Pneumotórax originado no período perinatal","P25.1 Pneumotorax originado no periodo perinatal",NA,NA,NA
"P271",2,NA,NA,NA,"Displasia broncopulmonar originada no período perinatal","P27.1 Displasia broncopulm orig periodo perinatal",NA,NA,NA
"P368",2,NA,NA,NA,"Outras septicemias bacterianas do recém-nascido","P36.8 Outr septicemias bacter do recem-nascido",NA,NA,NA
"P393",2,NA,NA,NA,"Infecção neonatal do trato urinário","P39.3 Infecc neonatal do trato urinario",NA,NA,NA
"P559",2,NA,NA,NA,"Doença hemolítica não especificada do feto e do recém-nascido","P55.9 Doenc hemolitica NE do feto e recem-nascido",NA,NA,NA
"P589",2,NA,NA,NA,"Icterícia neonatal devida a hemólise excessiva não especificada","P58.9 Ictericia neonatal dev hemolise excessiva NE",NA,NA,NA
"P711",2,NA,NA,NA,"Outras hipocalcemias neonatais","P71.1 Outr hipocalcemias neonatais",NA,NA,NA
"P90",2,NA,NA,NA,"Convulsões do recém-nascido","P90   Convulsoes do recem-nascido",NA,NA,NA
"P928",2,NA,NA,NA,"Outros problemas de alimentação do recém-nascido","P92.8 Outr problemas de alimentacao recem-nascido",NA,NA,NA
"Q180",2,NA,NA,"N","Seio, fístula e cisto de origem branquial","Q18.0 Seio fistula e cisto orig branquial",NA,NA,NA
"Q212",2,NA,NA,NA,"Comunicação atrioventricular","Q21.2 Comunicacao atrioventricular",NA,NA,NA
"Q359",2,NA,NA,NA,"Fenda palatina não especificada","Q35.9 Fenda palatina NE",NA,NA,NA
"Q393",2,NA,NA,NA,"Estenose congênita e estreitamento congênito do esôfago","Q39.3 Estenose congen e estreit congen esofago",NA,NA,NA
"Q660",2,NA,NA,"N","Pé torto eqüinovaro","Q66.0 Pe torto equinovaro",NA,NA,NA
"Q700",2,NA,NA,"N","Coalescência dos dedos (dedos da mão fundidos)","Q70.0 Coalescencia dos dedos",NA,NA,NA
"R230",2,NA,NA,NA,"Cianose","R23.0 Cianose",NA,NA,NA
"R51",2,NA,NA,NA,"Cefaléia","R51   Cefaleia",NA,NA,NA
"S011",2,NA,NA,NA,"Ferimento da pálpebra e da região periocular","S01.1 Ferim da palpebra e da regiao periocular",NA,NA,NA
"S018",2,NA,NA,NA,"Ferimento na cabeça, de outras localizações","S01.8 Ferim na cabeca de outr localiz",NA,NA,NA
"S026",2,NA,NA,NA,"Fratura de mandíbula","S02.6 Frat de mandibula",NA,NA,NA
"S060",2,NA,NA,NA,"Concussão cerebral","S06.0 Concussao cerebral",NA,NA,NA
"S062",2,NA,NA,NA,"Traumatismo cerebral difuso","S06.2 Traum cerebral difuso",NA,NA,NA
"S314",2,NA,"F",NA,"Ferimento da vagina e da vulva","S31.4 Ferim da vagina e da vulva",NA,NA,NA
"S520",2,NA,NA,NA,"Fratura da extremidade superior do cúbito [ulna]","S52.0 Frat da extremidade super do cubito",NA,NA,NA
"S529",2,NA,NA,NA,"Fratura do antebraço, parte não especificada","S52.9 Frat do antebraco parte NE",NA,NA,NA
"S821",2,NA,NA,NA,"Fratura da extremidade proximal da tíbia","S82.1 Frat da extremidade proximal da tibia",NA,NA,NA
"T019",2,NA,NA,NA,"Ferimentos múltiplos não especificados","T01.9 Ferim mult NE",NA,NA,NA
"T174",2,NA,NA,NA,"Corpo estranho na traquéia","T17.4 Corpo estranho na traqueia",NA,NA,NA
"T212",2,NA,NA,NA,"Queimadura de segundo grau do tronco","T21.2 Queim de 2.grau do tronco",NA,NA,NA
"T302",2,NA,NA,NA,"Queimadura de segundo grau, parte do corpo não especificada","T30.2 Queim de 2.grau parte do corpo NE",NA,NA,NA
"T658",2,NA,NA,NA,"Efeito tóxico de outras substâncias especificadas","T65.8 Outr subst espec",NA,NA,NA
"T758",2,NA,NA,NA,"Outros efeitos especificados de causas externas","T75.8 Outr efeitos espec de causas externas",NA,NA,NA
"Z478",2,NA,NA,NA,"Outros seguimentos ortopédicos especificados","Z47.8 Outr seguimentos ortopedicos espec",NA,NA,NA
"A059",1,NA,NA,NA,"Intoxicação alimentar bacteriana não especificada","A05.9 Intox alimentar bacter NE",NA,NA,NA
"A083",1,NA,NA,NA,"Outras enterites virais","A08.3 Outr enterites virais",NA,NA,NA
"A310",1,NA,NA,NA,"Infecção pulmonar micobacteriana","A31.0 Infecc pulmonar micobacteriana",NA,NA,NA
"A390",1,"+",NA,NA,"Meningite meningocócica","A39.0 Meningite meningococica","G01*",NA,NA
